Format,Title,Artist,Release Year,Genre(s),Country,RIYL,Location (Shelf),Album Cover URL,Fill In?
Record,I'm Just A Rock' n' Roll Singer,Lucifer's Friend,1974,"Hard Rock, Prog Rock, Glam",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/fb/93/0f/fb930f12-74b1-ef6e-774e-fb22302f33e9/14DMGIM05636.rgb.jpg/600x600bb.jpg,Been Filled
Record,Mind Exploding,Lucifer's Friend,1976,"Krautrock, Prog Rock",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music1/v4/2e/cc/36/2ecc363f-cc3f-de53-4a1d-02d2962d15a3/4009910127322.jpg/600x600bb.jpg,Been Filled
Record,Smell the Magic,L7,2020,"Alternative Rock, Grunge, Punk",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/4c/9e/76/4c9e7634-874e-e2ce-18ad-16a484c58660/L7_SmelltheMagic_4000.jpg/600x600bb.jpg,Been Filled
Record,Real Time,Richard Loyd,1990,"Free Improvisation, Free Jazz",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/93/0a/54/930a54fe-ce74-b6b0-464e-15bca435977f/cover.jpg/600x600bb.jpg,Been Filled
Record,Lowlife: The Seattle Underground Rock Album,Various Artists,,,,,J5,,Been Filled
Record,The Rose of England,Nick Lowe,1985,"Rock & Roll, Pop Rock, Country Rock",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/60/35/9c/60359c2b-a75b-0968-ac2b-775a1d1256d9/634457239623.jpg/600x600bb.jpg,Been Filled
Record,Pure Pop for Now People,Nick Lowe,1978,"New Wave, Power Pop",US,,J5,https://lastfm.freetls.fastly.net/i/u/300x300/071d0c4ec7b34dd9991f5abf5fd2629a.jpg,Been Filled
Record,Pinker and Prouder than Previous,Nick Lowe,1988,Pop Rock,US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/df/1c/f2/df1cf2b9-eaf6-e14f-8ad1-637a9c98e58c/634457239920.jpg/600x600bb.jpg,Been Filled
Record,Nick the NIfe,Nick Lowe,1982,,,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music111/v4/e9/55/bf/e955bf62-92c8-4281-c615-8ab9183bfcfd/634457240124.jpg/600x600bb.jpg,Been Filled
Record,Nick Lowe and his Cowboy Outfit,Nick Lowe,1984,"Rock & Roll, Pop Rock, Rockabilly",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/d5/8f/90/d58f908d-c8b1-a505-2c51-423a88011888/634457240025.jpg/600x600bb.jpg,Been Filled
Record,The Abominable Snowman,Nick Lowe,1983,,,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/6e/d9/96/6ed99657-9355-7752-549d-f8b29ae08590/634457239821.jpg/600x600bb.jpg,Been Filled
Record,Intrinsic,Intrinsic,1987,"Speed Metal, Heavy Metal",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/49/59/c4/4959c4cf-f948-820c-273e-857b9fec6ad2/TINT0109.jpg/600x600bb.jpg,Been Filled
Record,Intergalactic Touring Band,Intergalactic Touring Band,1977,"Symphonic Rock, Disco, Prog Rock, Funk, Parody",US,,J5,https://lastfm.freetls.fastly.net/i/u/300x300/7eefb3b32c0f450b8add675ba0f770f8.png,Been Filled
Record,Indigo Girls,Indigo Girls,1989,"Rock, Folk, World, & Country",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/ea/2c/9b/ea2c9baa-8472-56ba-f66c-0413f38b8e4a/dj.rlheljbi.jpg/600x600bb.jpg,Been Filled
Record,Cold Hands,Boss Hog,1990,"Alternative Rock, Garage Rock",Europe,,J5,https://lastfm.freetls.fastly.net/i/u/300x300/d1b0e542a21cea03104e0f6bd1543c1d.jpg,Been Filled
Record,Muscle In,The Box,1984,"New Wave, Avantgarde, Experimental",UK,,J5,https://lastfm.freetls.fastly.net/i/u/300x300/071468f59a70493e9baa75511852124b.jpg,Been Filled
Record,The Box,The Box,1984,New Wave,Canada,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bf/ec/7f/bfec7f6a-4bfc-0567-5677-2bd82f62c60b/27316.jpg/600x600bb.jpg,Been Filled
Record,This Day and Age,D.L Byron,1980,Rock,US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/73/9f/de/739fde7c-22fa-94fb-6591-e7396391b14c/888880826749.jpg/600x600bb.jpg,Been Filled
Record,Buffalo Springfield,Buffalo Springfield,1973,"Psychedelic Rock, Folk Rock, Pop Rock, Country Rock",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/14/12/bb/1412bb4b-d4bd-3fb6-e282-3e96b5988eed/mzi.vdwggpmt.jpg/600x600bb.jpg,Been Filled
Record,A Street Called Straight,Roy Buchanan,1976,"Blues Rock, Country Rock",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music/45/19/6e/mzi.yuotasyb.jpg/600x600bb.jpg,Been Filled
Record,Spring Hill Fair,The Go-Betweens,1984,"Pop Rock, Indie Pop, Indie Rock",Europe,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/42/1c/17/421c1777-5ecb-c449-0c85-3fb57d8855fa/887830018265.png/600x600bb.jpg,Been Filled
Record,Juke Box Dury,Ian Dury,1982,"Pop Rock, Funk, Classic Rock",Yugoslavia,,J5,https://lastfm.freetls.fastly.net/i/u/300x300/2946b3d8958e4a52ca7437ef3b7bc282.jpg,Been Filled
Record,Fire on the Mountain,Charlie Daniels Band,1974,Southern Rock,US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/42/51/e6/4251e648-f521-8f77-caf8-7166cad4fe8a/mzi.mwoybmws.jpg/600x600bb.jpg,Been Filled
Record,Charlie Daniels Band Live,Charlie Daniels Band,1978,Southern Rock,US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e5/9d/69/e59d6976-2e8e-fc56-1f5a-0933e2f799a4/192562404652.jpg/600x600bb.jpg,Been Filled
Record,Midnight Wind,Charlie Daniels Band,1977,Country Rock,US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Features114/v4/f5/be/14/f5be1497-d588-cb08-c5f8-5af50afbd895/dj.fyruwmvj.jpg/600x600bb.jpg,Been Filled
Record,Everything You Always Wanted To Hear,Charlie Daniels Band,1976,"Southern Rock, Country Rock",US,,J5,https://i.discogs.com/cUV-RfJdc9GO1Jt8beIALE0ABZeBoomisna01aGdyzs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NTc5/MjQtMTM5NjQ5NjEx/Mi0xNzc0LnBuZw.jpeg,Been Filled
Record,Full Moon,Charlie Daniels Band,1980,"Country Rock, Southern Rock",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music/78/0d/78/mzi.evinbrye.jpg/600x600bb.jpg,Been Filled
Record,Dangerously Close,Various Artists,2015,,,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/fd/7a/13/fd7a1394-5ce1-6da6-93ad-977533762a1f/15UMGIM00463.rgb.jpg/600x600bb.jpg,Been Filled
Record,Windows,Charlie Daniels Band,1982,Country Rock,US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music/cb/f9/81/mzi.grqphuir.jpg/600x600bb.jpg,Been Filled
Record,Million Mile Reflections,Charlie Daniels Band,1979,"Country Rock, Southern Rock",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music/2d/b7/0d/mzi.cqxkiapv.jpg/600x600bb.jpg,Been Filled
Record,Tejon Grease & Wolfman,Charlie Daniels Band,,,,,J5,,Been Filled
Record,Saddle Tramp,Charlie Daniels Band,1976,Country Rock,US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/6b/04/9b/6b049b3a-d772-b3f3-6bd6-ced92a9811cf/mzi.eukafolz.jpg/600x600bb.jpg,Been Filled
Record,Honey in the Rock,Charlie Daniels Band,1973,"Southern Rock, Country",US,,J5,https://lastfm.freetls.fastly.net/i/u/300x300/875c5b0842a040a9ac336d505743a2ee.jpg,Been Filled
Record,Rick Danko,Rick Danko,1977,"Folk Rock, Acoustic",US,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/42/11/ca/4211ca75-6b09-3293-2400-33183bd44bc0/687241000121.jpg/600x600bb.jpg,Been Filled
Record,Seduction,Danse Society,1982,"Post-Punk, Goth Rock",UK,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/81/02/f3/8102f30d-7bee-7cb6-d5ab-b872173139ac/artwork.jpg/600x600bb.jpg,Been Filled
Record,Mousetrap,Das Damen,1989,"Alternative Rock, Grunge",Germany,,J5,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/81/37/07/813707f5-b9d9-fa7f-23a7-6446c6a50f2d/100245.jpg/600x600bb.jpg,Been Filled
Record,Elevator,Russell Dashiell,,,,,J5,,Y
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Record,I'm a Lonesome Fugitive,Merle Haggard,2021,"Country, Honky Tonk, Bakersfield Sound",US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/f5/38/bc/f538bcd9-0d36-12b1-4f22-d4c94e00ba8e/00724353501853.tif/600x600bb.jpg,
Record,Slow Turning,John Hiatt,1988,Rock & Roll,Europe,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/86/6f/bd/866fbda9-fe95-07c1-5b19-85b51aef2e3b/00602567126096.rgb.jpg/600x600bb.jpg,
Record,SLug Line,John Hiatt,1979,Rock & Roll,US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/f5/eb/42/f5eb424b-e266-de52-8fc0-bff067145145/00076743135828.rgb.jpg/600x600bb.jpg,
Record,All of a Sudden,John Hiatt,1982,Pop Rock,Europe,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/7e/85/a8/7e85a807-832f-e3a5-5600-8eb5bf93dd49/00720642200926.rgb.jpg/600x600bb.jpg,
Record,Bring the Family,John Hiatt,1987,"Rock & Roll, Blues Rock",Europe,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/d6/89/d7/d689d7f5-1102-699c-28a2-4b6ac5e190ec/00602567078227.rgb.jpg/600x600bb.jpg,
Record,The Last Laugh,Helios Creed,1989,"Space Rock, Psychedelic Rock, Experimental",Germany,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/d6/ba/b8/d6bab87b-7e4d-22dc-e831-4aa7d511dba7/760137832027.png/600x600bb.jpg,
Record,Ramblin' Fever,Merle Haggard,1977,Country,US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/9d/07/e6/9d07e6e0-6226-ac17-f501-dffb5f64ec84/00602547925671.rgb.jpg/600x600bb.jpg,
Record,The Button-Down Mind Of,Bob Newhart,1960,Comedy,US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/1b/4e/18/1b4e185f-471f-e6c6-006d-6123210b600f/5059460050266.jpg/600x600bb.jpg,
Record,Exene Cervenka,Wanda Coleman,1985,Spoken Word,US,,"""B3""",https://i.discogs.com/QN201Z2-I7npCwZwosEB1D9103EnQfmSqnfPgKO90Po/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3NDM0/NDktMTI5OTA0MDA1/My5qcGVn.jpeg,
Record,Black Angeles,Wanda Coleman,1988,"Spoken Word, Poetry",US,,"""B3""",https://i.discogs.com/Z7Utg8n_tUCeoQJQqP1uZIgnB4qPzdf4sSrYTY-zzaA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUwNDc4/NzQtMTYxMzc3OTU1/Ny02NjY1LmpwZWc.jpeg,
Record,Watergate Comedy Hour,Burns and Schreiber,1973,Comedy,US,,"""B3""",https://i.discogs.com/AHGin92MHOj4yPeRt9XqnW0AVv5Z8icKErv--qzKNy4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0NzI4/ODgtMTMzNDI4NDE5/My5qcGVn.jpeg,
Record,Life on the Lawn,Gleaming Spires,1982,New Wave,US,,"""B3""",https://i.discogs.com/gYt95huZHgjzSglunT69xDaUeOnyyUD2YOKLCVqqZFw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMzA0/ODUtMTE5NDUwNzUw/OS5qcGVn.jpeg,
Record,Comedy Minus One,Albert Brooks,1973,"Comedy, Spoken Word",US,,"""B3""",https://lastfm.freetls.fastly.net/i/u/300x300/63cecf6c4476486e8d6916806cff0846.jpg,
Record,Show Boat,Henri Rene,1958,"Soundtrack, Score, Musical",US,,"""B3""",https://i.discogs.com/K_U1qSoPt9pCh03snwHoQk7maVZlQZ_XNmU2bvtZy58/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MjEw/MTctMTYzNDExMDg3/My0xNDEyLmpwZWc.jpeg,
Record,Waiting for the Rain,James Vincent,1978,"Jazz-Rock, Avantgarde, Funk",US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music49/v4/5b/6e/f6/5b6ef6b3-d579-0059-3074-993f01e1974c/843041041713.jpg/600x600bb.jpg,
Record,Beatin' the Odds,Molly Hatchet,1980,Southern Rock,US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music/1b/bc/ff/mzi.ormnqgtf.jpg/600x600bb.jpg,
Record,Only Breathing,O Positive,1985,"Alternative Rock, Goth Rock",US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/4e/6b/6b/4e6b6bb3-ac80-f4df-dab2-e3f5bc0c37e5/194171511639.jpg/600x600bb.jpg,
Record,The Hangman's Beautiful Daughter,Incredible String Band,1968,"Folk Rock, Folk",US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/92/4e/9b/924e9bd3-1261-3877-8883-027653ad477b/mzi.llxryeqb.jpg/600x600bb.jpg,
Record,Live,The Paul Butterfield Blues Band,1970,Chicago Blues,US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Features115/v4/dc/99/9a/dc999a73-c686-25b0-e65d-5dbeff3a53fb/dj.ploqoore.jpg/600x600bb.jpg,
Record,Bloodrock 3,Bloodrock,1971,"Hard Rock, Blues Rock",US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/9a/a2/f9/9aa2f908-a9cf-b0dc-e3db-8de4a7d62eac/00602567869009.rgb.jpg/600x600bb.jpg,
Record,Blood Sister,Blood Sister,1977,"Afrobeat, Funk, Disco",US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/49/e0/2b/49e02b12-f91c-2058-e8bc-6c08217e0a99/728028347289.jpg/600x600bb.jpg,
Record,Play River Music,Rhythm Devils,1980,Soundtrack,US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/c2/07/c6/c207c6ee-e3f1-cad2-1259-69a3ebd08b5c/828765571227.jpg/600x600bb.jpg,
Record,Positraction,Live Skull,1988,"Post-Punk, No Wave, Noise Rock",US,,"""B3""",https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/bf/a3/3f/bfa33f12-fdf7-0e0b-4d58-96b304fbd410/f57886db-5e79-49ce-85f4-3216e877051d.jpg/600x600bb.jpg,
